,file,pred_race,pred_gender,pred_age_grp,pred_age_lower,pred_age_upper,pred_model
0,crop_part1/16_0_0_20170104003740977.jpg.chip.jpg,latino hispanic,Male,20-29,20,29,DeepFace
0,crop_part1/53_1_0_20170110143534851.jpg.chip.jpg,White,Male,30-39,30,39,DeepFace
0,crop_part1/36_1_4_20170104172843788.jpg.chip.jpg,Asian,Male,30-39,30,39,DeepFace
0,crop_part1/34_1_3_20170104235537715.jpg.chip.jpg,White,Female,30-39,30,39,DeepFace
0,crop_part1/75_1_3_20170110175327928.jpg.chip.jpg,latino hispanic,Male,20-29,20,29,DeepFace
0,crop_part1/54_1_0_20170110141340224.jpg.chip.jpg,White,Female,30-39,30,39,DeepFace
0,crop_part1/60_1_0_20170110141610416.jpg.chip.jpg,White,Male,20-29,20,29,DeepFace
0,crop_part1/10_1_0_20170109204259563.jpg.chip.jpg,White,Male,20-29,20,29,DeepFace
0,crop_part1/37_1_0_20170103183817362.jpg.chip.jpg,White,Male,30-39,30,39,DeepFace
0,crop_part1/8_1_0_20170109203617429.jpg.chip.jpg,White,Female,30-39,30,39,DeepFace
0,crop_part1/56_1_3_20170109132208103.jpg.chip.jpg,latino hispanic,Male,20-29,20,29,DeepFace
0,crop_part1/54_0_0_20170104212522653.jpg.chip.jpg,White,Male,30-39,30,39,DeepFace
0,crop_part1/15_1_4_20170103214742821.jpg.chip.jpg,White,Male,20-29,20,29,DeepFace
0,crop_part1/26_1_4_20161221193701030.jpg.chip.jpg,Other,Female,20-29,20,29,DeepFace
0,crop_part1/23_1_3_20170104223200053.jpg.chip.jpg,Other,Female,20-29,20,29,DeepFace
0,crop_part1/18_1_0_20170109212647587.jpg.chip.jpg,White,Female,20-29,20,29,DeepFace
0,crop_part1/12_1_0_20170109203628860.jpg.chip.jpg,White,Male,30-39,30,39,DeepFace
0,crop_part1/40_0_4_20170104001839285.jpg.chip.jpg,Other,Male,20-29,20,29,DeepFace
0,crop_part1/60_1_0_20170110150258412.jpg.chip.jpg,Asian,Male,30-39,30,39,DeepFace
0,crop_part1/8_0_0_20170103210825483.jpg.chip.jpg,White,Male,20-29,20,29,DeepFace
0,crop_part1/60_1_0_20170110152933482.jpg.chip.jpg,White,Male,20-29,20,29,DeepFace
0,crop_part1/19_1_0_20170104011946801.jpg.chip.jpg,Asian,Male,20-29,20,29,DeepFace
0,crop_part1/26_1_1_20170103225852672.jpg.chip.jpg,Black,Male,30-39,30,39,DeepFace
0,crop_part1/45_1_0_20170104205620028.jpg.chip.jpg,White,Male,30-39,30,39,DeepFace
