test_prop,test_age,test_gender,test_race,source_prop,fairface_n,fairface_prop,fairface_p_value,deepface_n,deepface_prop,deepface_p_value
age_bins,70-130,Female,White,0.105477107402653,4539,0.0599250936329588,8.33696858430642e-24,3936,0,3.06372625372868e-103
genders,70-130,Female,White,0.555806087936866,397,0.685138539042821,2.14551983539613e-07,0,0,1
races,70-130,Female,White,0.772727272727273,408,0.666666666666667,3.18635546338567e-07,0,0,1
age_bins,70-130,Female,Asian,0.0339855818743563,1895,0.0274406332453826,0.115850551691171,2248,0,2.97107502495345e-19
genders,70-130,Female,Asian,0.360655737704918,107,0.485981308411215,0.00693990909739427,0,0,1
races,70-130,Female,Asian,0.103448275862069,408,0.127450980392157,0.111386439383955,0,0,1
age_bins,70-130,Female,Black,0.0220621341737956,1851,0.00648298217179903,5.03845013758668e-06,856,0,1.11051053879444e-05
genders,70-130,Female,Black,0.360294117647059,30,0.4,0.650549854001629,0,0,1
races,70-130,Female,Black,0.0768025078369906,408,0.0294117647058824,0.000324497859404535,0,0,1
age_bins,70-130,Female,Indian,0.0154994259471871,1100,0.0236363636363636,0.0289109496346338,514,0,0.00444579245928423
genders,70-130,Female,Indian,0.5,48,0.541666666666667,0.563702861650774,0,0,1
races,70-130,Female,Indian,0.0423197492163009,408,0.0637254901960784,0.031735660587336,0,0,1
age_bins,70-130,Female,Other,0.00318471337579618,2173,0.0211688909341924,2.25114083453462e-50,1666,0,0.0210495685225287
genders,70-130,Female,Other,0.5,88,0.522727272727273,0.669815357599417,0,0,1
races,70-130,Female,Other,0.00470219435736677,408,0.112745098039216,1.30764708070793e-223,0,0,1
age_bins,70-130,Female,All,0.0553771374012672,11558,0.0353002249524139,1.91411709961904e-21,9220,0,7.30566373002508e-120
genders,70-130,Female,All,0.503949447077409,670,0.608955223880597,5.4433782590558e-08,0,0,1
age_bins,70-130,Male,White,0.0710293852532901,4746,0.0263379688158449,2.10810231438603e-33,5101,0,4.08891967785906e-87
genders,70-130,Male,White,0.444193912063134,397,0.314861460957179,2.14551983539614e-07,0,0,1
races,70-130,Male,White,0.627388535031847,262,0.477099236641221,4.87103518594264e-07,0,0,1
age_bins,70-130,Male,Asian,0.0711678832116788,1594,0.034504391468005,1.24575796092017e-08,3546,0,2.4206529010689e-61
genders,70-130,Male,Asian,0.639344262295082,107,0.514018691588785,0.00693990909739424,0,0,1
races,70-130,Male,Asian,0.186305732484076,262,0.209923664122137,0.326169713085097,0,0,1
age_bins,70-130,Male,Black,0.0372272143774069,2130,0.00845070422535211,2.29730908765379e-12,2702,0,7.95009993025799e-25
genders,70-130,Male,Black,0.639705882352941,30,0.6,0.65054985400163,0,0,1
races,70-130,Male,Black,0.138535031847134,262,0.0687022900763359,0.00106795753822748,0,0,1
age_bins,70-130,Male,Indian,0.0118161925601751,1383,0.0159074475777296,0.159124023910965,956,0,0.000722149953465035
genders,70-130,Male,Indian,0.5,48,0.458333333333333,0.563702861650773,0,0,1
races,70-130,Male,Indian,0.0429936305732484,262,0.083969465648855,0.001076298644302,0,0,1
age_bins,70-130,Male,Other,0.00390625,2680,0.0156716417910448,8.00619570538723e-23,2528,0,0.00164050702222298
genders,70-130,Male,Other,0.5,88,0.477272727272727,0.669815357599417,0,0,1
races,70-130,Male,Other,0.00477707006369427,262,0.16030534351145,3.76405213293549e-292,0,0,1
age_bins,70-130,Male,All,0.0499165408155155,12533,0.0209048112981728,1.33358989603755e-50,14833,0,8.49002232895603e-172
genders,70-130,Male,All,0.496050552922591,670,0.391044776119403,5.44337825905576e-08,0,0,1
age_bins,70-130,All,White,0.0867821152529107,9285,0.0427571351642434,1.29272865059994e-51,9037,0,4.49301628195077e-189
races,70-130,All,White,0.700631911532385,670,0.592537313432836,1.00049391615247e-09,0,0,1
age_bins,70-130,All,Asian,0.051031790295594,3489,0.0306678131269705,4.60395001723853e-08,5794,0,4.94661983834858e-70
races,70-130,All,Asian,0.144549763033175,670,0.159701492537313,0.264719861043265,0,0,1
age_bins,70-130,All,Black,0.0298376480912681,3981,0.00753579502637528,1.77713281357431e-16,3558,0,6.54041382245119e-26
races,70-130,All,Black,0.107424960505529,670,0.0447761194029851,1.63283400578375e-07,0,0,1
age_bins,70-130,All,Indian,0.0134094859697045,2483,0.0193314538864277,0.0103013436308798,1470,0,7.82619857481121e-06
races,70-130,All,Indian,0.042654028436019,670,0.0716417910447761,0.000204729247549496,0,0,1
age_bins,70-130,All,Other,0.00350877192982456,4853,0.0181331135380177,8.00644228612843e-67,4194,0,0.000121606739476442
races,70-130,All,Other,0.004739336492891,670,0.13134328358209,0,0,0,1
age_bins,70-130,All,All,0.0525267612646253,24091,0.0278112158067328,1.42604666399645e-66,24053,0,3.01286782395458e-292
age_bins,3-9,Female,White,0.0789473684210526,4539,0.0914298303591099,0.00181669898492371,3936,0,1.19207378973805e-75
genders,3-9,Female,White,0.502724795640327,715,0.58041958041958,3.25147302333349e-05,0,0,1
races,3-9,Female,White,0.467088607594937,937,0.44290288153682,0.137838035322112,0,0,1
age_bins,3-9,Female,Asian,0.0762100926879506,1895,0.0960422163588391,0.00113902083709936,2248,0,1.56212013888042e-42
genders,3-9,Female,Asian,0.646288209606987,324,0.561728395061728,0.00145529001420485,0,0,1
races,3-9,Female,Asian,0.187341772151899,937,0.194236926360726,0.588554603976839,0,0,1
age_bins,3-9,Female,Black,0.025213867627195,1851,0.0356564019448947,0.00416053735122589,856,0,2.53296056845068e-06
genders,3-9,Female,Black,0.533333333333333,119,0.554621848739496,0.641576186422655,0,0,1
races,3-9,Female,Black,0.0708860759493671,937,0.0704375667022412,0.957336233329521,0,0,1
age_bins,3-9,Female,Indian,0.0619977037887486,1100,0.0809090909090909,0.00929692959711553,514,0,5.58801026351504e-09
genders,3-9,Female,Indian,0.658536585365854,133,0.669172932330827,0.795885175935156,0,0,1
races,3-9,Female,Indian,0.136708860759494,937,0.0949839914621131,0.000200953126229307,0,0,1
age_bins,3-9,Female,Other,0.115711252653928,2173,0.0851357570179475,8.36095813650496e-06,1666,0,1.23484787973904e-49
genders,3-9,Female,Other,0.784172661870504,310,0.596774193548387,1.08277010586221e-15,0,0,1
races,3-9,Female,Other,0.137974683544304,937,0.1974386339381,1.30649504145695e-07,0,0,1
age_bins,3-9,Female,All,0.0685704365940457,11558,0.0810693891676761,1.05457743868653e-07,9220,0,6.2089386521262e-150
genders,3-9,Female,All,0.576221735959154,1601,0.58525921299188,0.46430473052475,0,0,1
age_bins,3-9,Male,White,0.0658013340544438,4746,0.0632111251580278,0.471699332710375,5101,0,2.00510496293624e-80
genders,3-9,Male,White,0.497275204359673,715,0.41958041958042,3.25147302333347e-05,0,0,1
races,3-9,Male,White,0.628227194492255,664,0.451807228915663,2.56121255494105e-21,0,0,1
age_bins,3-9,Male,Asian,0.0492700729927007,1594,0.0890840652446675,2.06548679999413e-13,3546,0,3.64923355108615e-42
genders,3-9,Male,Asian,0.353711790393013,324,0.438271604938272,0.00145529001420484,0,0,1
races,3-9,Male,Asian,0.139414802065404,664,0.213855421686747,3.06174982824381e-08,0,0,1
age_bins,3-9,Male,Black,0.0209670517757809,2130,0.0248826291079812,0.207200913057661,2702,0,2.8016732440795e-14
genders,3-9,Male,Black,0.466666666666667,119,0.445378151260504,0.641576186422656,0,0,1
races,3-9,Male,Black,0.0843373493975904,664,0.0798192771084337,0.675254580352388,0,0,1
age_bins,3-9,Male,Indian,0.024507658643326,1383,0.0318148951554591,0.0788284336006619,956,0,9.54419990852951e-07
genders,3-9,Male,Indian,0.341463414634146,133,0.330827067669173,0.795885175935154,0,0,1
races,3-9,Male,Indian,0.0963855421686747,664,0.0662650602409639,0.00853960104689873,0,0,1
age_bins,3-9,Male,Other,0.0390625,2680,0.0466417910447761,0.0428466046428371,2528,0,1.88752472732391e-24
genders,3-9,Male,Other,0.215827338129496,310,0.403225806451613,1.08277010586221e-15,0,0,1
races,3-9,Male,Other,0.0516351118760757,664,0.188253012048193,2.7627303431713e-57,0,0,1
age_bins,3-9,Male,All,0.0461807487481122,12533,0.0529801324503311,0.000286863224077169,14833,0,1.67793007284802e-158
genders,3-9,Male,All,0.423778264040846,1601,0.41474078700812,0.46430473052475,0,0,1
age_bins,3-9,All,White,0.0718129341551707,9285,0.0770059235325794,0.0526038847830479,9037,0,2.24974245809394e-154
races,3-9,All,White,0.535375638220277,1601,0.446595877576515,1.0602616903941e-12,0,0,1
age_bins,3-9,All,Asian,0.0638594534300056,3489,0.0928632846087704,2.43742163982814e-12,5794,0,2.99066087917912e-88
races,3-9,All,Asian,0.167031363967907,1601,0.202373516552155,0.000149928386388211,0,0,1
age_bins,3-9,All,Black,0.023036419482229,3981,0.0298919869379553,0.00393507663500239,3558,0,2.60716763232187e-20
races,3-9,All,Black,0.0765864332603939,1601,0.0743285446595878,0.734065623135991,0,0,1
age_bins,3-9,All,Indian,0.0407251055376211,2483,0.0535642368103101,0.00120860781994134,1470,0,2.83961010978227e-15
races,3-9,All,Indian,0.11962071480671,1601,0.0830730793254216,6.59782978828924e-06,0,0,1
age_bins,3-9,All,Other,0.0812865497076023,4853,0.0638780135998352,9.08817524350665e-06,4194,0,5.44640323286667e-83
races,3-9,All,Other,0.101385849744712,1601,0.193628981886321,1.10187017404363e-34,0,0,1
age_bins,3-9,All,All,0.0568832462036346,24091,0.0664563529948944,1.40703619086457e-10,24053,0,0
age_bins,10-19,Female,White,0.114676936243047,4539,0.0687376074025116,1.3205264301381e-22,3936,0.0215955284552846,2.4999056688492e-75
genders,10-19,Female,White,0.553719008264463,644,0.484472049689441,0.000407708490259346,148,0.574324324324324,0.614073209905513
races,10-19,Female,White,0.549180327868853,779,0.400513478818999,3.74000767874998e-17,233,0.36480686695279,1.54846875672204e-08
age_bins,10-19,Female,Asian,0.0401647785787848,1895,0.0358839050131926,0.342565303067035,2248,0.047153024911032,0.0915060947610659
genders,10-19,Female,Asian,0.661016949152542,128,0.53125,0.00192533565225888,265,0.4,1.40038930450957e-19
races,10-19,Female,Asian,0.0799180327868853,779,0.0872913992297818,0.447897385762076,233,0.454935622317597,3.19977895714085e-99
age_bins,10-19,Female,Black,0.0576316974335885,1851,0.0804970286331713,2.42966059564319e-05,856,0,4.6448901669422e-13
genders,10-19,Female,Black,0.549356223175966,253,0.588932806324111,0.205804173029246,0,0,1
races,10-19,Female,Black,0.131147540983607,779,0.191270860077022,6.65501876245164e-07,233,0,3.02171644402146e-09
age_bins,10-19,Female,Indian,0.0631458094144661,1100,0.0827272727272727,0.00758207595949756,514,0,3.95733206561168e-09
genders,10-19,Female,Indian,0.614525139664804,135,0.674074074074074,0.155146581738519,1,0,0.206726683160219
races,10-19,Female,Indian,0.112704918032787,779,0.116816431322208,0.716693326978021,233,0,5.32189526134717e-08
age_bins,10-19,Female,Other,0.131634819532909,2173,0.0731707317073171,7.11803072020749e-16,1666,0.0252100840336134,4.39972864775919e-38
genders,10-19,Female,Other,0.673913043478261,301,0.528239202657807,6.99368548004602e-08,82,0.51219512195122,0.00178474114135988
races,10-19,Female,Other,0.127049180327869,779,0.20410783055199,1.05978375467786e-10,233,0.180257510729614,0.0147359878419732
age_bins,10-19,Female,All,0.0847148685009982,11558,0.0673992040145354,2.30413597447891e-11,9220,0.0252711496746204,1.11954130070919e-93
genders,10-19,Female,All,0.58026159334126,1461,0.533196440793977,0.000267166936674776,496,0.469758064516129,6.14102908039379e-07
age_bins,10-19,Male,White,0.0778799351000541,4746,0.0699536451748841,0.0415860253558153,5101,0.0123505195059792,1.33395463293626e-68
genders,10-19,Male,White,0.446280991735537,644,0.515527950310559,0.000407708490259349,148,0.425675675675676,0.614073209905512
races,10-19,Male,White,0.611898016997167,682,0.486803519061584,2.03135069672114e-11,263,0.239543726235741,1.45387090981403e-35
age_bins,10-19,Male,Asian,0.024330900243309,1594,0.0376411543287327,0.000562551772506955,3546,0.044839255499154,2.23919353061533e-15
genders,10-19,Male,Asian,0.338983050847458,128,0.46875,0.00192533565225888,265,0.6,1.40038930450957e-19
races,10-19,Male,Asian,0.056657223796034,682,0.0879765395894428,0.00040336644416874,263,0.604562737642586,0
age_bins,10-19,Male,Black,0.0449293966623877,2130,0.0488262910798122,0.385278697069201,2702,0,8.78689415257602e-30
genders,10-19,Male,Black,0.450643776824034,253,0.411067193675889,0.205804173029247,0,0,1
