test_prop,test_age,test_gender,test_race,source_n,source_prop,fairface_n,fairface_prop,fairface_p_value,fairface_power,deepface_n,deepface_prop,deepface_p_value,deepface_power
age_bins,70-130,Female,White,4674,0.105477107402653,4539,0.0599250936329588,2.34061669218355e-15,0.999999770167098,3936,0,8.9787934473157e-98,1
genders,70-130,Female,White,887,0.555806087936866,397,0.685138539042821,1.2742445587568e-05,0.928071682897373,0,0,0,0
races,70-130,Female,White,638,0.772727272727273,408,0.666666666666667,0.000160233578775255,0.780082441425179,0,0,0,0
age_bins,70-130,Female,Asian,1942,0.0339855818743563,1895,0.0274406332453826,0.240385094597951,0.0366372497483845,2248,0,1.24755043809277e-18,1
genders,70-130,Female,Asian,183,0.360655737704918,107,0.485981308411215,0.0360566727409795,0.190131252535972,0,0,0,0
races,70-130,Female,Asian,638,0.103448275862069,408,0.127450980392157,0.231352427615626,0.0374436003528112,0,0,0,0
age_bins,70-130,Female,Black,2221,0.0220621341737956,1851,0.00648298217179903,4.60026109547481e-05,0.916834761513692,856,0,1.18282535219496e-05,0.999995581801331
genders,70-130,Female,Black,136,0.360294117647059,30,0.4,0.683053418554928,0.00557352813843457,0,0,0,0
races,70-130,Female,Black,638,0.0768025078369906,408,0.0294117647058824,0.00142178562804719,0.675140609622338,0,0,0,0
age_bins,70-130,Female,Indian,1742,0.0154994259471871,1100,0.0236363636363636,0.118330167388805,0.075785730920118,514,0,0.00451731785438953,0.977553119289805
genders,70-130,Female,Indian,54,0.5,48,0.541666666666667,0.674187851763201,0.00578170941566734,0,0,0,0
races,70-130,Female,Indian,638,0.0423197492163009,408,0.0637254901960784,0.123643992812724,0.0730850723299239,0,0,0,0
age_bins,70-130,Female,Other,942,0.00318471337579618,2173,0.0211688909341924,0.000211372276509746,0.947751684567392,1666,0,0.0211809414922822,0.421688309745586
genders,70-130,Female,Other,6,0.5,88,0.522727272727273,0.914133635369051,0.00316912701172271,0,0,0,0
races,70-130,Female,Other,638,0.00470219435736677,408,0.112745098039216,7.26534583229032e-16,0.999999992893994,0,0,0,0
age_bins,70-130,Female,All,11521,0.0553771374012672,11558,0.0353002249524139,2.27695402660126e-13,0.999994759986967,9220,0,1.41653360160283e-116,1
genders,70-130,Female,All,1266,0.503949447077409,670,0.608955223880597,1.03270385334159e-05,0.928542486698123,0,0,0,0
age_bins,70-130,Male,White,5547,0.0710293852532901,4746,0.0263379688158449,5.19727599164757e-25,0.999999999999998,5101,0,8.18446068217398e-84,1
genders,70-130,Male,White,887,0.444193912063134,397,0.314861460957179,1.27424455875681e-05,0.928071682897373,0,0,0,0
races,70-130,Male,White,628,0.627388535031847,262,0.477099236641221,3.40403535970936e-05,0.876566219586069,0,0,0,0
age_bins,70-130,Male,Asian,1644,0.0711678832116788,1594,0.034504391468005,3.30832815595637e-06,0.961328765063399,3546,0,4.27455387965399e-58,1
genders,70-130,Male,Asian,183,0.639344262295082,107,0.514018691588785,0.0360566727409795,0.190131252535972,0,0,0,0
races,70-130,Male,Asian,628,0.186305732484076,262,0.209923664122137,0.416056688727593,0.0153996666718417,0,0,0,0
age_bins,70-130,Male,Black,2337,0.0372272143774069,2130,0.00845070422535211,2.28927989490773e-10,0.999940719374178,2702,0,4.64095632544509e-24,1
genders,70-130,Male,Black,136,0.639705882352941,30,0.6,0.683053418554928,0.00557352813843457,0,0,0,0
races,70-130,Male,Black,628,0.138535031847134,262,0.0687022900763359,0.00324587450690498,0.575890334562935,0,0,0,0
age_bins,70-130,Male,Indian,2285,0.0118161925601751,1383,0.0159074475777296,0.295559486053065,0.0263539385137213,956,0,0.000737937484562517,0.996401869774996
genders,70-130,Male,Indian,54,0.5,48,0.458333333333333,0.674187851763201,0.00578170941566737,0,0,0,0
races,70-130,Male,Indian,628,0.0429936305732484,262,0.083969465648855,0.0145807773577794,0.256933590958494,0,0,0,0
age_bins,70-130,Male,Other,768,0.00390625,2680,0.0156716417910448,0.0113155682353756,0.543600668232682,2528,0,0.0016672244293168,0.527119508062965
genders,70-130,Male,Other,6,0.5,88,0.477272727272727,0.91413363536905,0.00316912701172271,0,0,0,0
races,70-130,Male,Other,628,0.00477707006369427,262,0.16030534351145,4.83852789828965e-22,0.999999999894531,0,0,0,0
age_bins,70-130,Male,All,12581,0.0499165408155155,12533,0.0209048112981728,1.71609774763124e-35,1,14833,0,8.19789281238785e-167,1
genders,70-130,Male,All,1266,0.496050552922591,670,0.391044776119403,1.03270385334159e-05,0.928542486698124,0,0,0,0
age_bins,70-130,All,White,10221,0.0867821152529107,9285,0.0427571351642434,3.21375296668602e-35,1,9037,0,8.39090156121545e-181,1
races,70-130,All,White,1266,0.700631911532385,670,0.592537313432836,1.68910455395445e-06,0.962335808467304,0,0,0,0
age_bins,70-130,All,Asian,3586,0.051031790295594,3489,0.0306678131269705,1.56566106421765e-05,0.918068136662191,5794,0,1.50510944844769e-67,1
races,70-130,All,Asian,1266,0.144549763033175,670,0.159701492537313,0.374164282012253,0.0186200501563807,0,0,0,0
age_bins,70-130,All,Black,4558,0.0298376480912681,3981,0.00753579502637528,9.60868584647846e-14,0.999999747654853,3558,0,2.7265244462002e-25,1
races,70-130,All,Black,1266,0.107424960505529,670,0.0447761194029851,2.81887286909111e-06,0.981497239000137,0,0,0,0
age_bins,70-130,All,Indian,4027,0.0134094859697045,2483,0.0193314538864277,0.0616437241513761,0.128974937534743,1470,0,8.12805541112267e-06,0.999998336377543
races,70-130,All,Indian,1266,0.042654028436019,670,0.0716417910447761,0.00660857669956751,0.369580000485645,0,0,0,0
age_bins,70-130,All,Other,1710,0.00350877192982456,4853,0.0181331135380177,1.20481587264066e-05,0.992304304336208,4194,0,0.000124006554140342,0.877726671547701
races,70-130,All,Other,1266,0.004739336492891,670,0.13134328358209,6.28360313186108e-35,1,0,0,0,0
age_bins,70-130,All,All,24102,0.0525267612646253,24091,0.0278112158067328,2.04786298137376e-43,1,24053,0,3.87360725559746e-284,1
age_bins,3-9,Female,White,4674,0.0789473684210526,4539,0.0914298303591099,0.0318140948188549,0.205914814312864,3936,0,1.40591444789353e-72,1
genders,3-9,Female,White,734,0.502724795640327,715,0.58041958041958,0.00300449025583404,0.501144853478976,0,0,0,0
races,3-9,Female,White,790,0.467088607594937,937,0.44290288153682,0.314552870386992,0.0249101511822455,0,0,0,0
age_bins,3-9,Female,Asian,1942,0.0762100926879506,1895,0.0960422163588391,0.0284784111580368,0.219154167443692,2248,0,1.62527063740192e-40,1
genders,3-9,Female,Asian,229,0.646288209606987,324,0.561728395061728,0.0458604736145124,0.167989936515654,0,0,0,0
races,3-9,Female,Asian,790,0.187341772151899,937,0.194236926360726,0.716535136164353,0.00503410518716434,0,0,0,0
age_bins,3-9,Female,Black,2221,0.025213867627195,1851,0.0356564019448947,0.0516192307958718,0.151706616863671,856,0,2.75054094705007e-06,0.999999647203084
genders,3-9,Female,Black,105,0.533333333333333,119,0.554621848739496,0.749522112995158,0.00454902873778404,0,0,0,0
races,3-9,Female,Black,790,0.0708860759493671,937,0.0704375667022412,0.971091305008042,0.00301902626847659,0,0,0,0
age_bins,3-9,Female,Indian,1742,0.0619977037887486,1100,0.0809090909090909,0.0531934220383596,0.145187055925343,514,0,7.24066329863729e-09,0.99999999999916
genders,3-9,Female,Indian,164,0.658536585365854,133,0.669172932330827,0.847053590486654,0.0035489473237092,0,0,0,0
races,3-9,Female,Indian,790,0.136708860759494,937,0.0949839914621131,0.00658068695085758,0.398100708079369,0,0,0,0
age_bins,3-9,Female,Other,942,0.115711252653928,2173,0.0851357570179475,0.00734217141580731,0.362101955149048,1666,0,1.15242723735795e-45,1
genders,3-9,Female,Other,139,0.784172661870504,310,0.596774193548387,0.000112767274940867,0.852216777028481,0,0,0,0
races,3-9,Female,Other,790,0.137974683544304,937,0.1974386339381,0.00105450042591404,0.632818068282548,0,0,0,0
age_bins,3-9,Female,All,11521,0.0685704365940457,11558,0.0810693891676761,0.00030820544061924,0.74014582980906,9220,0,5.91081399455109e-145,1
genders,3-9,Female,All,1371,0.576221735959154,1601,0.58525921299188,0.618624801235551,0.00702051516997786,0,0,0,0
age_bins,3-9,Male,White,5547,0.0658013340544438,4746,0.0632111251580278,0.594124768653924,0.00768882733855276,5101,0,1.43555045337409e-77,1
genders,3-9,Male,White,734,0.497275204359673,715,0.41958041958042,0.00300449025583404,0.501144853478976,0,0,0,0
races,3-9,Male,White,581,0.628227194492255,664,0.451807228915663,4.7978316046532e-10,0.999511314408975,0,0,0,0
age_bins,3-9,Male,Asian,1644,0.0492700729927007,1594,0.0890840652446675,7.72256162635332e-06,0.938420045388518,3546,0,1.71911576486172e-40,1
genders,3-9,Male,Asian,229,0.353711790393013,324,0.438271604938272,0.0458604736145124,0.167989936515654,0,0,0,0
races,3-9,Male,Asian,581,0.139414802065404,664,0.213855421686747,0.000632349877834607,0.686481197804962,0,0,0,0
age_bins,3-9,Male,Black,2337,0.0209670517757809,2130,0.0248826291079812,0.381549045973576,0.0182089432219687,2702,0,3.91816889181829e-14,0.999999999999876
genders,3-9,Male,Black,105,0.466666666666667,119,0.445378151260504,0.749522112995158,0.00454902873778401,0,0,0,0
races,3-9,Male,Black,581,0.0843373493975904,664,0.0798192771084337,0.77182198050272,0.00426554668326654,0,0,0,0
age_bins,3-9,Male,Indian,2285,0.024507658643326,1383,0.0318148951554591,0.187814410028237,0.0476132297325323,956,0,1.04615484126677e-06,0.999999897305218
genders,3-9,Male,Indian,164,0.341463414634146,133,0.330827067669173,0.847053590486654,0.0035489473237092,0,0,0,0
races,3-9,Male,Indian,581,0.0963855421686747,664,0.0662650602409639,0.0510791272359623,0.153880620966274,0,0,0,0
age_bins,3-9,Male,Other,768,0.0390625,2680,0.0466417910447761,0.371474994219911,0.0201118477527272,2528,0,1.81206578335306e-23,0.999999999988806
genders,3-9,Male,Other,139,0.215827338129496,310,0.403225806451613,0.000112767274940867,0.852216777028481,0,0,0,0
races,3-9,Male,Other,581,0.0516351118760757,664,0.188253012048193,3.23446719776099e-13,0.999999042120255,0,0,0,0
age_bins,3-9,Male,All,12581,0.0461807487481122,12533,0.0529801324503311,0.0130628353546583,0.314041930457504,14833,0,3.25435879532502e-154,1
genders,3-9,Male,All,1371,0.423778264040846,1601,0.41474078700812,0.618624801235551,0.00702051516997786,0,0,0,0
age_bins,3-9,All,White,10221,0.0718129341551707,9285,0.0770059235325794,0.167192418892591,0.0562269407430022,9037,0,9.54952566240205e-149,1
races,3-9,All,White,1371,0.535375638220277,1601,0.446595877576515,1.386722351611e-06,0.968896984813279,0,0,0,0
age_bins,3-9,All,Asian,3586,0.0638594534300056,3489,0.0928632846087704,5.52434624306918e-06,0.944032731824447,5794,0,1.80257940243387e-84,1
races,3-9,All,Asian,1371,0.167031363967907,1601,0.202373516552155,0.0135857079850718,0.312030941523834,0,0,0,0
age_bins,3-9,All,Black,4558,0.023036419482229,3981,0.0298919869379553,0.048006463331185,0.159922684469377,3558,0,8.04961621131634e-20,1
races,3-9,All,Black,1371,0.0765864332603939,1601,0.0743285446595878,0.816197087583102,0.00380206671297376,0,0,0,0
age_bins,3-9,All,Indian,4027,0.0407251055376211,2483,0.0535642368103101,0.0158896790831791,0.278170839614806,1470,0,3.9858178874687e-15,1
races,3-9,All,Indian,1371,0.11962071480671,1601,0.0830730793254216,0.000927133029342407,0.631616139700638,0,0,0,0
age_bins,3-9,All,Other,1710,0.0812865497076023,4853,0.0638780135998352,0.0142041699445329,0.281743283881588,4194,0,6.536907179335e-78,1
races,3-9,All,Other,1371,0.101385849744712,1601,0.193628981886321,2.56168679631031e-12,0.999985684216685,0,0,0,0
age_bins,3-9,All,All,24102,0.0568832462036346,24091,0.0664563529948944,1.25264126846996e-05,0.91978283214344,24053,0,3.28909954509755e-308,1
age_bins,10-19,Female,White,4674,0.114676936243047,4539,0.0687376074025116,2.42746323200807e-14,0.999998869650836,3936,0.0215955284552846,4.08738436713402e-62,1
genders,10-19,Female,White,968,0.553719008264463,644,0.484472049689441,0.00638715866917799,0.405147705504202,148,0.574324324324324,0.638406310506192,0.00655654693535277
races,10-19,Female,White,976,0.549180327868853,779,0.400513478818999,5.93313278249706e-10,0.99942722113834,233,0.36480686695279,4.21067541891538e-07,0.98376106959148
age_bins,10-19,Female,Asian,1942,0.0401647785787848,1895,0.0358839050131926,0.488333749106969,0.0116001303142442,2248,0.047153024911032,0.270955930389785,0.0312580658297444
genders,10-19,Female,Asian,118,0.661016949152542,128,0.53125,0.038438570442215,0.187098695436697,265,0.4,2.3515769386802e-06,0.965184284053913
races,10-19,Female,Asian,976,0.0799180327868853,779,0.0872913992297818,0.578413183760355,0.00812137742005945,233,0.454935622317597,1.67760438605836e-46,1
age_bins,10-19,Female,Black,2221,0.0576316974335885,1851,0.0804970286331713,0.0039085832000479,0.462960280400797,856,0,7.2551685347386e-13,1
genders,10-19,Female,Black,233,0.549356223175966,253,0.588932806324111,0.378640910070357,0.0184904660264198,0,0,0,0
races,10-19,Female,Black,976,0.131147540983607,779,0.191270860077022,0.000598261834314329,0.673293540391866,233,0,5.03553226632834e-09,0.999999999999692
age_bins,10-19,Female,Indian,1742,0.0631458094144661,1100,0.0827272727272727,0.0473303829177166,0.156692586834384,514,0,5.17992001211072e-09,0.999999999999576
genders,10-19,Female,Indian,179,0.614525139664804,135,0.674074074074074,0.276411445183533,0.0303789936376569,1,0,0.208730807042469,0
races,10-19,Female,Indian,976,0.112704918032787,779,0.116816431322208,0.788140222012131,0.00408051469411472,233,0,7.66604149440809e-08,0.999999999933278
age_bins,10-19,Female,Other,942,0.131634819532909,2173,0.0731707317073171,1.8406312450762e-07,0.978542535878034,1666,0.0252100840336134,1.0880777174068e-26,0.999999999999944
genders,10-19,Female,Other,184,0.673913043478261,301,0.528239202657807,0.00158999959649297,0.588883577788508,82,0.51219512195122,0.011918344755027,0.317068435503667
races,10-19,Female,Other,976,0.127049180327869,779,0.20410783055199,1.2934827386038e-05,0.915342749456011,233,0.180257510729614,0.033979873226895,0.174345463732677
age_bins,10-19,Female,All,11521,0.0847148685009982,11558,0.0673992040145354,6.97528039948728e-07,0.97733563848546,9220,0.0252711496746204,1.12969470726048e-73,1
genders,10-19,Female,All,1682,0.58026159334126,1461,0.533196440793977,0.00804472996923927,0.375415634062443,496,0.469758064516129,1.34932144690521e-05,0.914981306207773
age_bins,10-19,Male,White,5547,0.0778799351000541,4746,0.0699536451748841,0.126215518167243,0.075635059143468,5101,0.0123505195059792,6.24197851248548e-58,1
genders,10-19,Male,White,968,0.446280991735537,644,0.515527950310559,0.00638715866917797,0.405147705504202,148,0.425675675675676,0.638406310506192,0.00655654693535273
races,10-19,Male,White,706,0.611898016997167,682,0.486803519061584,2.81750657041028e-06,0.957981636034281,263,0.239543726235741,6.27521354697216e-25,0.999999999999995
age_bins,10-19,Male,Asian,1644,0.024330900243309,1594,0.0376411543287327,0.0286160402015771,0.220674639121584,3546,0.044839255499154,0.000344338102108011,0.798379912678343
genders,10-19,Male,Asian,118,0.338983050847458,128,0.46875,0.038438570442215,0.187098695436697,265,0.6,2.3515769386802e-06,0.965184284053912
races,10-19,Male,Asian,706,0.056657223796034,682,0.0879765395894428,0.0240691639790811,0.241105286458627,263,0.604562737642586,1.21348522770555e-78,1
age_bins,10-19,Male,Black,2337,0.0449293966623877,2130,0.0488262910798122,0.537904733377818,0.00950129843530288,2702,0,8.4980635824059e-29,1
genders,10-19,Male,Black,233,0.450643776824034,253,0.411067193675889,0.378640910070357,0.0184904660264196,0,0,0,0
races,10-19,Male,Black,706,0.148725212464589,682,0.152492668621701,0.844450647547909,0.00356779878428625,263,0,3.51239398361914e-11,0.999999999999999
age_bins,10-19,Male,Indian,2285,0.0301969365426696,1383,0.0318148951554591,0.783440478340184,0.00412685326935117,956,0.00104602510460251,1.9280026165669e-07,0.999995100058101
genders,10-19,Male,Indian,179,0.385474860335196,135,0.325925925925926,0.276411445183533,0.0303789936376568,1,1,0.208730807042469,0
races,10-19,Male,Indian,706,0.0977337110481586,682,0.0645161290322581,0.0236747652318613,0.245019929373694,263,0.00380228136882129,5.09901900935569e-07,0.999981597383882
