img_path,file,src_age,src_gender,src_race,src_timestamp,pred_race,pred_gender,pred_age_DF_only,pred_age_grp,pred_age_lower,pred_age_upper,pred_model
part1\100_1_0_20170110183726390.jpg,100_1_0_20170110183726390.jpg,100,Female,White,2.017011018372639e+16,Other,Female,,70-130,70.0,130.0,FairFace
part1\100_1_2_20170105174847679.jpg,100_1_2_20170105174847679.jpg,100,Female,Asian,2.017010517484768e+16,Asian,Female,,70-130,70.0,130.0,FairFace
part1\100_1_2_20170110182836729.jpg,100_1_2_20170110182836729.jpg,100,Female,Asian,2.017011018283673e+16,Other,Female,,70-130,70.0,130.0,FairFace
part1\101_1_2_20170105174739309.jpg,101_1_2_20170105174739309.jpg,101,Female,Asian,2.0170105174739308e+16,Asian,Female,,70-130,70.0,130.0,FairFace
part1\10_0_0_20161220222308131.jpg,10_0_0_20161220222308131.jpg,10,Male,White,2.016122022230813e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170103200329407.jpg,10_0_0_20170103200329407.jpg,10,Male,White,2.017010320032941e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170103200522151.jpg,10_0_0_20170103200522151.jpg,10,Male,White,2.017010320052215e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170103233459275.jpg,10_0_0_20170103233459275.jpg,10,Male,White,2.017010323345928e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170104013211746.jpg,10_0_0_20170104013211746.jpg,10,Male,White,2.0170104013211744e+16,Other,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110215927291.jpg,10_0_0_20170110215927291.jpg,10,Male,White,2.017011021592729e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220033115.jpg,10_0_0_20170110220033115.jpg,10,Male,White,2.017011022003312e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220111082.jpg,10_0_0_20170110220111082.jpg,10,Male,White,2.017011022011108e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110220235233.jpg,10_0_0_20170110220235233.jpg,10,Male,White,2.017011022023523e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220251986.jpg,10_0_0_20170110220251986.jpg,10,Male,White,2.0170110220251984e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220255346.jpg,10_0_0_20170110220255346.jpg,10,Male,White,2.0170110220255344e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110220316298.jpg,10_0_0_20170110220316298.jpg,10,Male,White,2.0170110220316296e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220403810.jpg,10_0_0_20170110220403810.jpg,10,Male,White,2.017011022040381e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110220447314.jpg,10_0_0_20170110220447314.jpg,10,Male,White,2.017011022044731e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220503946.jpg,10_0_0_20170110220503946.jpg,10,Male,White,2.0170110220503944e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220514186.jpg,10_0_0_20170110220514186.jpg,10,Male,White,2.0170110220514184e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220530650.jpg,10_0_0_20170110220530650.jpg,10,Male,White,2.017011022053065e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220539329.jpg,10_0_0_20170110220539329.jpg,10,Male,White,2.017011022053933e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220541850.jpg,10_0_0_20170110220541850.jpg,10,Male,White,2.017011022054185e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220546177.jpg,10_0_0_20170110220546177.jpg,10,Male,White,2.0170110220546176e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110220548521.jpg,10_0_0_20170110220548521.jpg,10,Male,White,2.017011022054852e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110220557169.jpg,10_0_0_20170110220557169.jpg,10,Male,White,2.017011022055717e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110220644705.jpg,10_0_0_20170110220644705.jpg,10,Male,White,2.0170110220644704e+16,White,Male,,20-29,20.0,29.0,FairFace
part1\10_0_0_20170110220654150.jpg,10_0_0_20170110220654150.jpg,10,Male,White,2.017011022065415e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110221714752.jpg,10_0_0_20170110221714752.jpg,10,Male,White,2.017011022171475e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110221719390.jpg,10_0_0_20170110221719390.jpg,10,Male,White,2.017011022171939e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110221811823.jpg,10_0_0_20170110221811823.jpg,10,Male,White,2.0170110221811824e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224223937.jpg,10_0_0_20170110224223937.jpg,10,Male,White,2.0170110224223936e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110224238891.jpg,10_0_0_20170110224238891.jpg,10,Male,White,2.017011022423889e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224253445.jpg,10_0_0_20170110224253445.jpg,10,Male,White,2.0170110224253444e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224255796.jpg,10_0_0_20170110224255796.jpg,10,Male,White,2.01701102242558e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224402264.jpg,10_0_0_20170110224402264.jpg,10,Male,White,2.0170110224402264e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224406532.jpg,10_0_0_20170110224406532.jpg,10,Male,White,2.017011022440653e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110224416035.jpg,10_0_0_20170110224416035.jpg,10,Male,White,2.017011022441604e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224500062.jpg,10_0_0_20170110224500062.jpg,10,Male,White,2.0170110224500064e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110224524253.jpg,10_0_0_20170110224524253.jpg,10,Male,White,2.017011022452425e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224549512.jpg,10_0_0_20170110224549512.jpg,10,Male,White,2.017011022454951e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110224725285.jpg,10_0_0_20170110224725285.jpg,10,Male,White,2.0170110224725284e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110224757882.jpg,10_0_0_20170110224757882.jpg,10,Male,White,2.017011022475788e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225013755.jpg,10_0_0_20170110225013755.jpg,10,Male,White,2.017011022501376e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225035898.jpg,10_0_0_20170110225035898.jpg,10,Male,White,2.0170110225035896e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225227587.jpg,10_0_0_20170110225227587.jpg,10,Male,White,2.0170110225227588e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225243501.jpg,10_0_0_20170110225243501.jpg,10,Male,White,2.01701102252435e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225246490.jpg,10_0_0_20170110225246490.jpg,10,Male,White,2.017011022524649e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225252799.jpg,10_0_0_20170110225252799.jpg,10,Male,White,2.01701102252528e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225402690.jpg,10_0_0_20170110225402690.jpg,10,Male,White,2.017011022540269e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225414790.jpg,10_0_0_20170110225414790.jpg,10,Male,White,2.017011022541479e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225417177.jpg,10_0_0_20170110225417177.jpg,10,Male,White,2.0170110225417176e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225421531.jpg,10_0_0_20170110225421531.jpg,10,Male,White,2.017011022542153e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225442428.jpg,10_0_0_20170110225442428.jpg,10,Male,White,2.0170110225442428e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225444491.jpg,10_0_0_20170110225444491.jpg,10,Male,White,2.017011022544449e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225451638.jpg,10_0_0_20170110225451638.jpg,10,Male,White,2.017011022545164e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225502403.jpg,10_0_0_20170110225502403.jpg,10,Male,White,2.0170110225502404e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225505288.jpg,10_0_0_20170110225505288.jpg,10,Male,White,2.017011022550529e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225518663.jpg,10_0_0_20170110225518663.jpg,10,Male,White,2.0170110225518664e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225528484.jpg,10_0_0_20170110225528484.jpg,10,Male,White,2.0170110225528484e+16,Other,Male,,10-19,10.0,19.0,FairFace
part1\10_0_0_20170110225537307.jpg,10_0_0_20170110225537307.jpg,10,Male,White,2.0170110225537308e+16,White,Male,,10-19,10.0,19.0,FairFace
