,file,pred_race,pred_gender,pred_age_grp,pred_age_lower,pred_age_upper,pred_model
0,part3/27_0_1_20170120133818199.jpg,Asian,Male,30-39,30,39,DeepFace
0,part3/24_0_3_20170119165522935.jpg,latino hispanic,Male,30-39,30,39,DeepFace
0,part3/8_1_0_20170117154607954.jpg,White,Female,10-19,10,19,DeepFace
0,part3/85_1_0_20170120222635457.jpg,White,Male,40-49,40,49,DeepFace
0,part3/26_1_0_20170119192908266.jpg,White,Female,30-39,30,39,DeepFace
0,part3/57_0_0_20170117195457344.jpg,Asian,Male,30-39,30,39,DeepFace
0,part3/33_0_4_20170116220014045.jpg,Black,Male,20-29,20,29,DeepFace
0,part3/78_1_0_20170120225556721.jpg,White,Male,50-59,50,59,DeepFace
0,part3/45_0_0_20170119195628780.jpg,White,Male,30-39,30,39,DeepFace
0,part3/34_1_1_20170116224143264.jpg,Black,Male,20-29,20,29,DeepFace
0,part3/27_0_1_20170116010418660.jpg,Black,Male,30-39,30,39,DeepFace
0,part3/26_0_2_20170120134050439.jpg,White,Female,30-39,30,39,DeepFace
0,part3/67_0_3_20170119212012082.jpg,Other,Male,40-49,40,49,DeepFace
0,part3/45_0_3_20170119200329836.jpg,Other,Male,40-49,40,49,DeepFace
0,part3/26_1_3_20170119193113828.jpg,White,Female,30-39,30,39,DeepFace
0,part3/87_0_0_20170120230518577.jpg,Asian,Male,40-49,40,49,DeepFace
0,part3/32_1_3_20170119200442044.jpg,White,Male,30-39,30,39,DeepFace
0,part3/40_0_3_20170119183828462.jpg,White,Male,40-49,40,49,DeepFace
0,part3/26_0_3_20170119192402842.jpg,Other,Male,20-29,20,29,DeepFace
0,part3/26_1_3_20170119150754793.jpg,White,Female,20-29,20,29,DeepFace
0,part3/48_0_0_20170119205302120.jpg,White,Male,20-29,20,29,DeepFace
0,part3/27_1_3_20170119194425057.jpg,Other,Female,30-39,30,39,DeepFace
0,part3/29_1_0_20170120133642078.jpg,White,Female,20-29,20,29,DeepFace
0,part3/31_0_2_20170117120426927.jpg,Asian,Male,20-29,20,29,DeepFace
0,part3/45_0_3_20170119204728031.jpg,Indian,Male,40-49,40,49,DeepFace
0,part3/28_1_3_20170119195103765.jpg,latino hispanic,Female,30-39,30,39,DeepFace
0,part3/26_0_0_20170120134406935.jpg,White,Male,30-39,30,39,DeepFace
0,part3/55_0_3_20170119211431441.jpg,Indian,Male,30-39,30,39,DeepFace
0,part3/93_1_0_20170120225304313.jpg,White,Male,50-59,50,59,DeepFace
0,part3/45_0_0_20170119204119581.jpg,White,Male,20-29,20,29,DeepFace
0,part3/56_0_0_20170119172238128.jpg,White,Male,30-39,30,39,DeepFace
0,part3/90_1_0_20170120140047472.jpg,White,Male,40-49,40,49,DeepFace
0,part3/58_0_3_20170119211539872.jpg,latino hispanic,Male,40-49,40,49,DeepFace
0,part3/53_0_0_20170117182542501.jpg,latino hispanic,Male,30-39,30,39,DeepFace
0,part3/36_0_3_20170119183320965.jpg,latino hispanic,Male,20-29,20,29,DeepFace
0,part3/43_1_0_20170120222412663.jpg,White,Male,30-39,30,39,DeepFace
0,part3/26_0_3_20170119192253329.jpg,Other,Male,20-29,20,29,DeepFace
0,part3/24_0_3_20170119164640038.jpg,Asian,Male,30-39,30,39,DeepFace
0,part3/53_0_1_20170120222553113.jpg,Black,Male,50-59,50,59,DeepFace
0,part3/55_0_3_20170119204546494.jpg,Indian,Male,30-39,30,39,DeepFace
0,part3/34_0_3_20170119163319768.jpg,latino hispanic,Male,20-29,20,29,DeepFace
0,part3/73_1_0_20170120230335947.jpg,White,Female,30-39,30,39,DeepFace
0,part3/29_0_1_20170117022120994.jpg,Black,Male,20-29,20,29,DeepFace
0,part3/26_1_3_20170119192916618.jpg,Indian,Male,20-29,20,29,DeepFace
0,part3/15_1_1_20170116000638538.jpg,Black,Male,20-29,20,29,DeepFace
0,part3/45_0_3_20170119165318518.jpg,latino hispanic,Male,30-39,30,39,DeepFace
0,part3/32_0_3_20170119200401517.jpg,Indian,Male,20-29,20,29,DeepFace
0,part3/28_1_3_20170119204506255.jpg,latino hispanic,Female,20-29,20,29,DeepFace
0,part3/23_1_3_20170119164419982.jpg,White,Female,30-39,30,39,DeepFace
0,part3/25_0_0_20170119171843896.jpg,White,Female,30-39,30,39,DeepFace
0,part3/23_1_3_20170119164509213.jpg,Other,Female,20-29,20,29,DeepFace
0,part3/30_0_2_20170119183959989.jpg,Asian,Male,30-39,30,39,DeepFace
0,part3/63_0_1_20170120221531693.jpg,White,Male,30-39,30,39,DeepFace
0,part3/33_0_3_20170119200505620.jpg,Indian,Male,20-29,20,29,DeepFace
0,part3/31_1_3_20170119200201348.jpg,latino hispanic,Female,30-39,30,39,DeepFace
0,part3/38_0_0_20170116001012194.jpg,White,Male,20-29,20,29,DeepFace
0,part3/32_0_3_20170119164310053.jpg,latino hispanic,Male,20-29,20,29,DeepFace
0,part3/23_0_3_20170119164041958.jpg,Indian,Female,30-39,30,39,DeepFace
0,part3/54_0_3_20170119180958035.jpg,latino hispanic,Male,30-39,30,39,DeepFace
0,part3/81_1_1_20170116220014045.jpg,Asian,Male,50-59,50,59,DeepFace
0,part3/45_0_3_20170119201251044.jpg,White,Female,30-39,30,39,DeepFace
0,part3/36_1_3_20170119202210389.jpg,Indian,Female,40-49,40,49,DeepFace
0,part3/54_0_2_20170119210027776.jpg,latino hispanic,Male,30-39,30,39,DeepFace
0,part3/70_0_3_20170119181040603.jpg,Indian,Male,30-39,30,39,DeepFace
0,part3/35_1_3_20170119150744831.jpg,Other,Female,30-39,30,39,DeepFace
0,part3/74_0_0_20170120225142161.jpg,latino hispanic,Male,30-39,30,39,DeepFace
0,part3/27_1_3_20170119153535105.jpg,White,Female,20-29,20,29,DeepFace
0,part3/30_0_0_20170120223905134.jpg,White,Male,20-29,20,29,DeepFace
0,part3/44_0_3_20170119195144674.jpg,Indian,Male,30-39,30,39,DeepFace
0,part3/28_1_0_20170119194946890.jpg,White,Female,30-39,30,39,DeepFace
0,part3/26_0_3_20170119192352369.jpg,Other,Male,20-29,20,29,DeepFace
0,part3/54_0_3_20170119210115168.jpg,White,Male,30-39,30,39,DeepFace
0,part3/41_0_3_20170119204228535.jpg,latino hispanic,Male,30-39,30,39,DeepFace
